route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1_28,1,28,,3,008BD0,FFFFFF
1_25,1,25,,3,008BD0,FFFFFF
1_11,1,11,,3,008BD0,FFFFFF
1_152,1,152,,3,008BD0,FFFFFF
1_115,1,115,,3,008BD0,FFFFFF
1_42,1,42,,3,008BD0,FFFFFF
1_9,1,9,,0,EE1D23,FFFFFF
1_3,1,3,,0,EE1D23,FFFFFF
1_31,1,31,,3,008BD0,FFFFFF
1_80,1,80,,3,008BD0,FFFFFF
1_4,1,4,,0,EE1D23,FFFFFF
1_ZT4,1,ZT4,,3,008BD0,FFFFFF
1_123B,1,123B,,3,008BD0,FFFFFF
1_19,1,19,,3,008BD0,FFFFFF
1_15,1,15,,3,008BD0,FFFFFF
1_121,1,121,,3,008BD0,FFFFFF
1_1,1,1,,0,EE1D23,FFFFFF
1_113,1,113,,3,008BD0,FFFFFF
1_27,1,27,,3,008BD0,FFFFFF
1_2,1,2,,0,EE1D23,FFFFFF
1_6,1,6,,0,EE1D23,FFFFFF
1_29,1,29,,3,008BD0,FFFFFF
1_44,1,44,,3,008BD0,FFFFFF
1_12,1,12,,3,008BD0,FFFFFF
1_40,1,40,,3,008BD0,FFFFFF
1_22,1,22,,3,008BD0,FFFFFF
1_20,1,20,,3,008BD0,FFFFFF
1_5,1,5,,0,EE1D23,FFFFFF
1_30,1,30,,3,008BD0,FFFFFF
1_7,1,7,,0,EE1D23,FFFFFF
1_N92,1,N92,,3,485E88,FFFFFF
1_132,1,132,,3,008BD0,FFFFFF
1_ZT5,1,ZT5,,3,008BD0,FFFFFF
1_26,1,26,,3,008BD0,FFFFFF
1_111,1,111,,3,008BD0,FFFFFF
1_41,1,41,,3,008BD0,FFFFFF
1_32,1,32,,3,008BD0,FFFFFF
1_122,1,122,,3,008BD0,FFFFFF
1_151,1,151,,3,008BD0,FFFFFF
1_34,1,34,,3,008BD0,FFFFFF
1_23,1,23,,3,008BD0,FFFFFF
1_106,1,106,,3,008BD0,FFFFFF
1_14,1,14,,3,008BD0,FFFFFF
1_38,1,38,,3,008BD0,FFFFFF
1_105,1,105,,3,008BD0,FFFFFF
1_131,1,131,,3,008BD0,FFFFFF
1_13,1,13,,3,008BD0,FFFFFF
1_16,1,16,,3,008BD0,FFFFFF
1_112,1,112,,3,008BD0,FFFFFF
1_18,1,18,,3,008BD0,FFFFFF
1_21,1,21,,3,008BD0,FFFFFF
1_10,1,10,,3,008BD0,FFFFFF
1_N95,1,N95,,3,485E88,FFFFFF
1_24,1,24,,3,008BD0,FFFFFF
1_N94,1,N94,,3,485E88,FFFFFF
1_N91,1,N91,,3,485E88,FFFFFF
1_39,1,39,,3,008BD0,FFFFFF
1_33,1,33,,3,008BD0,FFFFFF
1_17,1,17,,3,008BD0,FFFFFF
1_101,1,101,,3,008BD0,FFFFFF
1_142,1,142,,3,008BD0,FFFFFF
1_141,1,141,,3,008BD0,FFFFFF
1_124,1,124,,3,008BD0,FFFFFF
1_N90,1,N90,,3,485E88,FFFFFF
1_123A,1,123A,,3,008BD0,FFFFFF
1_N93,1,N93,,3,485E88,FFFFFF
1_N96,1,N96,,3,485E88,FFFFFF
1_102,1,102,,3,008BD0,FFFFFF
