stop_id,stop_name,stop_lat,stop_lon
01002,Podkowa,53.176188616,18.014124528
01003,Jeździecka - Dżokejowa,53.176250984,18.018854208
01004,Jeździecka - Dżokejowa,53.176202358,18.019188428
01005,Jeździecka - Hipiczna,53.175722651,18.032786911
01006,Jeździecka - Hipiczna,53.175627865,18.032782725
01007,Jeździecka - Ogród Botaniczny,53.17593901,18.044886546
01008,Jeździecka - Ogród Botaniczny,53.175674813,18.045267609
01009,Jeździecka - Gdańska,53.172764721,18.051647805
01010,Gdańska - Jeździecka,53.171879291,18.051342015
01011,Gdańska - Jeździecka,53.171722,18.05175
01012,Armii Krajowej - Zamczysko,53.163203237,18.055331737
01014,Zamczysko - Armii Krajowej,53.163230432,18.053421534
01015,Zamczysko - Gdańska,53.165001272,18.0469695
01016,Zamczysko - Gdańska,53.164872596,18.047264476
01017,Myślęcinek,53.161520508,18.039328616
01018,Las Gdański P+R,53.150275846,18.028486217
01019,Las Gdański P+R,53.14923847,18.027206113
01020,Las Gdański P+R,53.150250166,18.028211861
01026,Modrzewiowa - Gdańska,53.145444422,18.02571239
01027,Modrzewiowa - Gdańska,53.145174849,18.02618836
01028,Leśne,53.142200524,18.031105352
01029,Leśne,53.14241025,18.031214263
01030,Leśne,53.141995407,18.030575432
01032,Leśne,53.143412703,18.031173185
01033,Sułkowskiego - Czerkaska,53.13985249,18.028582164
01034,Sułkowskiego - Czerkaska,53.140060844,18.0285343
01035,Czerkaska - Gdańska,53.142177974,18.020966124
01036,Powstańców Warszawy - Gdańska,53.142743789,18.019164192
01037,Gdańska - Czerkaska,53.142898633,18.021016607
01038,Gdańska - Powstańców Warszawy,53.14162967,18.019545325
01045,Gdańska - Artyleryjska,53.138557,18.016582
01046,Gdańska - Artyleryjska,53.138557,18.016417
01049,Kamienna - Sułkowskiego,53.135765266,18.024954728
01050,Kamienna - Wyszyńskiego,53.134527412,18.035081073
01051,Kamienna - Wyszyńskiego,53.133884989,18.03779343
01056,Kamienna - Gajowa,53.133419432,18.042351623
01057,Kamienna - Gajowa,53.133050902,18.044039931
01060,Kamienna - Gdańska,53.137022965,18.016576252
01061,Kamienna - Gdańska,53.137245254,18.016325126
