route_id,service_id,trip_id,trip_headsign,block_id,block_short_name
ZaT,2026-06-16:ZaT:1,2026-06-16:727734,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727735,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727736,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727737,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727738,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727739,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727740,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727741,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727742,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727743,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727744,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727745,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727746,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727747,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727748,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727749,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727750,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727751,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727752,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727753,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727754,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727755,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727756,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727757,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727758,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727759,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727760,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727761,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727762,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727763,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727764,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727765,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727766,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727767,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727768,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727769,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727770,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727771,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727772,Las Gdański P+R,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727773,Rondo Jagiellonów,2026-06-16:37017,01
ZaT,2026-06-16:ZaT:1,2026-06-16:727776,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727777,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727778,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727779,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727780,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727781,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727782,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727783,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727784,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727785,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727786,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727787,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727788,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727789,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727790,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727791,Rondo Jagiellonów,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727792,Las Gdański P+R,2026-06-16:37018,02
ZaT,2026-06-16:ZaT:1,2026-06-16:727793,Rondo Jagiellonów,2026-06-16:37018,02
