trip_id,route_id,service_id,trip_headsign,direction_id,shape_id,block_id
90737,1_28,100003,Mazowiecka - Pętla,0,1,1306
76891,1_25,1239,Uniwersytet,1,2,528
97114,1_11,1239,Koniuchy,0,3,1698
97599,1_152,1239,Kąkol,1,4,1732
93844,1_115,93844,Lubicz Górny - Osiedle,0,5,1464
74025,1_42,100003,Olimpijska P&R,0,6,2
101218,1_9,101186,Aleja Solidarności,0,7,1898
101141,1_3,101010,Motoarena,0,8,1899
90738,1_31,100003,Kolankowskiego,0,9,1307
89838,1_80,100191,Uniwersytet,0,10,1218
100562,1_4,100381,Uniwersytet,1,11,1880
89132,1_28,1239,Uniwersytet,1,12,1216
74026,1_42,100003,Olimpijska P&R,0,13,9
100865,1_ZT4,100381,Bukowa,1,14,1882
97822,1_123B,100003,Rubinkowo P&R,1,15,1743
93849,1_19,93849,Czerniewice,1,16,1469
78024,1_15,1239,Przy Lesie,1,17,638
97823,1_121,93849,Rubinkowo P&R,1,18,1744
93851,1_1,93849,Uniwersytet,1,19,1471
78412,1_113,1239,Kopanino,0,20,639
90740,1_27,100003,Dworzec Główny,1,21,1309
100280,1_2,100229,Motoarena,1,22,1883
92741,1_6,100229,Heweliusza,1,23,1415
97717,1_29,53141,Kolankowskiego,0,24,1741
88712,1_44,1239,Nad Strugą,0,25,1185
92589,1_3,100381,Motoarena,0,8,1423
97324,1_12,100003,Łączna,1,26,1699
89346,1_40,53141,Plac Skalskiego,1,27,1219
100458,1_2,100381,Motoarena,1,22,1884
100377,1_4,100229,Wały Gen. Sikorskiego,0,28,1885
99233,1_2,100001,Elana B,0,29,1825
88950,1_25,1239,Uniwersytet,1,2,1203
88713,1_44,1239,Nad Strugą,0,25,1185
89035,1_22,1239,Dworzec Główny,1,30,1209
97209,1_12,93844,Wrzosy I,0,31,1700
97824,1_20,93849,Forteczna,0,32,1745
92981,1_20,1239,Poznańska,1,33,1435
93673,1_5,100381,Olimpijska P&R,0,34,1473
79380,1_25,100003,Uniwersytet,1,2,708
97693,1_29,53141,Szubińska,1,35,1739
97825,1_31,100003,Wrzosy I,1,36,1746
77358,1_40,1239,Port Drzewny,1,37,627
2534,1_42,1239,Mazowiecka - Pętla,1,38,24
93854,1_15,93844,Rubinkowo P&R,0,39,1475
100794,1_ZT4,100229,Aleja Solidarności,0,40,1886
93680,1_5,100381,Olimpijska P&R,0,34,1476
100250,1_2,100229,Motoarena,1,22,1887
93855,1_30,93844,Nad Strugą,0,41,1477
90742,1_31,100003,Wrzosy I,1,36,
99234,1_7,100003,Uniwersytet,0,42,1826
78131,1_19,1239,Czerniewice,1,16,642
99235,1_2,100001,Motoarena,1,43,1827
82486,1_115,1239,Lubicz Górny - Osiedle,0,5,895
96495,1_N92,96495,Aleja Solidarności,1,44,1654
97280,1_11,100003,Czerniewice,1,45,1701
90743,1_15,100003,Rubinkowo P&R,0,39,1313
92530,1_6,100381,Heweliusza,1,23,1408
90744,1_132,100003,Zławieś Wielka - Urząd Gminy,1,46,1314
96763,1_152,1239,Kąkol,1,4,1684
97250,1_11,100003,Czerniewice,1,45,1702
89085,1_80,1239,Dworzec Główny,1,47,1213
99236,1_7,100003,Uniwersytet,0,42,1828
101503,1_3,100000,Motoarena,0,8,1900
101715,1_ZT5,101010,Aleja Solidarności,0,48,1901
79381,1_26,100003,Rubinkowo P&R,0,49,709
79382,1_111,100003,Plac Św. Katarzyny,1,50,710
99238,1_41,100003,Dworzec Wschodni,1,51,1829
93395,1_20,100003,Poznańska,1,52,1442
100387,1_2,100381,Wały Gen. Sikorskiego,0,53,1888
99239,1_7,100001,Wschodnia - Pętla,1,54,1830
57493,1_32,100003,Letnia,1,55,47
79383,1_113,100003,Kopanino,0,20,711
78136,1_19,1239,Plac Św. Katarzyny,0,56,645
79384,1_30,100003,Wapienna,0,57,712
97046,1_11,1239,Koniuchy,0,3,1703
